id,name,height,weight,base_experience,type_1,type_2,hp,attack,defense,special_attack,special_defense,speed,total_stats,is_dual_type
412,burmy,2,34,45,bug,,40,29,45,29,45,36,224,0
413,wormadam-plant,5,65,148,bug,grass,60,59,85,79,105,36,424,1
414,mothim,9,233,148,bug,flying,70,94,50,94,50,66,424,1
415,combee,3,55,49,bug,flying,30,30,42,30,42,70,244,1
416,vespiquen,12,385,166,bug,flying,70,80,102,80,102,40,474,1
417,pachirisu,4,39,142,electric,,60,45,70,45,90,95,405,0
418,buizel,7,295,66,water,,55,65,35,60,30,85,330,0
419,floatzel,11,335,173,water,,85,105,55,85,50,115,495,0
420,cherubi,4,33,55,grass,,45,35,45,62,53,35,275,0
421,cherrim,5,93,158,grass,,70,60,70,87,78,85,450,0
422,shellos,3,63,65,water,,76,48,48,57,62,34,325,0
423,gastrodon,9,299,166,water,ground,111,83,68,92,82,39,475,1
424,ambipom,12,203,169,normal,,75,100,66,60,66,115,482,0
425,drifloon,4,12,70,ghost,flying,90,50,34,60,44,70,348,1
426,drifblim,12,150,174,ghost,flying,150,80,44,90,54,80,498,1
427,buneary,4,55,70,normal,,55,66,44,44,56,85,350,0
428,lopunny,12,333,168,normal,,65,76,84,54,96,105,480,0
429,mismagius,9,44,173,ghost,,60,60,60,105,105,105,495,0
430,honchkrow,9,273,177,dark,flying,100,125,52,105,52,71,505,1
431,glameow,5,39,62,normal,,49,55,42,42,37,85,310,0
432,purugly,10,438,158,normal,,71,82,64,64,59,112,452,0
433,chingling,2,6,57,psychic,,45,30,50,65,50,45,285,0
434,stunky,4,192,66,poison,dark,63,63,47,41,41,74,329,1
435,skuntank,10,380,168,poison,dark,103,93,67,71,61,84,479,1
436,bronzor,5,605,60,steel,psychic,57,24,86,24,86,23,300,1
437,bronzong,13,1870,175,steel,psychic,67,89,116,79,116,33,500,1
438,bonsly,5,150,58,rock,,50,80,95,10,45,10,290,0
439,mime-jr,6,130,62,psychic,fairy,20,25,45,70,90,60,310,1
440,happiny,6,244,110,normal,,100,5,5,15,65,30,220,0
441,chatot,5,19,144,normal,flying,76,65,45,92,42,91,411,1
442,spiritomb,10,1080,170,ghost,dark,50,92,108,92,108,35,485,1
443,gible,7,205,60,dragon,ground,58,70,45,40,45,42,300,1
444,gabite,14,560,144,dragon,ground,68,90,65,50,55,82,410,1
445,garchomp,19,950,270,dragon,ground,108,130,95,80,85,102,600,1
446,munchlax,6,1050,78,normal,,135,85,40,40,85,5,390,0
447,riolu,7,202,57,fighting,,40,70,40,35,40,60,285,0
448,lucario,12,540,184,fighting,steel,70,110,70,115,70,90,525,1
449,hippopotas,8,495,66,ground,,68,72,78,38,42,32,330,0
450,hippowdon,20,3000,184,ground,,108,112,118,68,72,47,525,0
451,skorupi,8,120,66,poison,bug,40,50,90,30,55,65,330,1
452,drapion,13,615,175,poison,dark,70,90,110,60,75,95,500,1
453,croagunk,7,230,60,poison,fighting,48,61,40,61,40,50,300,1
454,toxicroak,13,444,172,poison,fighting,83,106,65,86,65,85,490,1
455,carnivine,14,270,159,grass,,74,100,72,90,72,46,454,0
456,finneon,4,70,66,water,,49,49,56,49,61,66,330,0
457,lumineon,12,240,161,water,,69,69,76,69,86,91,460,0
458,mantyke,10,650,69,water,flying,45,20,50,60,120,50,345,1
459,snover,10,505,67,grass,ice,60,62,50,62,60,40,334,1
460,abomasnow,22,1355,173,grass,ice,90,92,75,92,85,60,494,1
461,weavile,11,340,179,dark,ice,70,120,65,45,85,125,510,1
462,magnezone,12,1800,241,electric,steel,70,70,115,130,90,60,535,1
463,lickilicky,17,1400,180,normal,,110,85,95,80,95,50,515,0
464,rhyperior,24,2828,241,ground,rock,115,140,130,55,55,40,535,1
465,tangrowth,20,1286,187,grass,,100,100,125,110,50,50,535,0
466,electivire,18,1386,243,electric,,75,123,67,95,85,95,540,0
467,magmortar,16,680,243,fire,,75,95,67,125,95,83,540,0
468,togekiss,15,380,245,fairy,flying,85,50,95,120,115,80,545,1
469,yanmega,19,515,180,bug,flying,86,76,86,116,56,95,515,1
470,leafeon,10,255,184,grass,,65,110,130,60,65,95,525,0
471,glaceon,8,259,184,ice,,65,60,110,130,95,65,525,0
472,gliscor,20,425,179,ground,flying,75,95,125,45,75,95,510,1
473,mamoswine,25,2910,239,ice,ground,110,130,80,70,60,80,530,1
474,porygon-z,9,340,241,normal,,85,80,70,135,75,90,535,0
475,gallade,16,520,233,psychic,fighting,68,125,65,65,115,80,518,1
476,probopass,14,3400,184,rock,steel,60,55,145,75,150,40,525,1
477,dusknoir,22,1066,236,ghost,,45,100,135,65,135,45,525,0
478,froslass,13,266,168,ice,ghost,70,80,70,80,70,110,480,1
479,rotom,3,3,154,electric,ghost,50,50,77,95,77,91,440,1
480,uxie,3,3,261,psychic,,75,75,130,75,130,95,580,0
481,mesprit,3,3,261,psychic,,80,105,105,105,105,80,580,0
482,azelf,3,3,261,psychic,,75,125,70,125,70,115,580,0
483,dialga,54,6830,306,steel,dragon,100,120,120,150,100,90,680,1
484,palkia,42,3360,306,water,dragon,90,120,100,150,120,100,680,1
485,heatran,17,4300,270,fire,steel,91,90,106,130,106,77,600,1
486,regigigas,37,4200,302,normal,,110,160,110,80,110,100,670,0
487,giratina-altered,45,7500,306,ghost,dragon,150,100,120,100,120,90,680,1
488,cresselia,15,856,270,psychic,,120,70,110,75,120,85,580,0
489,phione,4,31,216,water,,80,80,80,80,80,80,480,0
490,manaphy,3,14,270,water,,100,100,100,100,100,100,600,0
491,darkrai,15,505,270,dark,,70,90,90,135,90,125,600,0
492,shaymin-land,2,21,270,grass,,100,100,100,100,100,100,600,0
493,arceus,32,3200,324,normal,,120,120,120,120,120,120,720,0
494,victini,4,40,270,psychic,fire,100,100,100,100,100,100,600,1
495,snivy,6,81,62,grass,,45,45,55,45,55,63,308,0
496,servine,8,160,145,grass,,60,60,75,60,75,83,413,0
497,serperior,33,630,238,grass,,75,75,95,75,95,113,528,0
498,tepig,5,99,62,fire,,65,63,45,45,45,45,308,0
499,pignite,10,555,146,fire,fighting,90,93,55,70,55,55,418,1
500,emboar,16,1500,238,fire,fighting,110,123,65,100,65,65,528,1
501,oshawott,5,59,62,water,,55,55,45,63,45,45,308,0
502,dewott,8,245,145,water,,75,75,60,83,60,60,413,0
503,samurott,15,946,238,water,,95,100,85,108,70,70,528,0
504,patrat,5,116,51,normal,,45,55,39,35,39,42,255,0
505,watchog,11,270,147,normal,,60,85,69,60,69,77,420,0
506,lillipup,4,41,55,normal,,45,60,45,25,45,55,275,0
507,herdier,9,147,130,normal,,65,80,65,35,65,60,370,0
508,stoutland,12,610,225,normal,,85,110,90,45,90,80,500,0
509,purrloin,4,101,56,dark,,41,50,37,50,37,66,281,0
510,liepard,11,375,156,dark,,64,88,50,88,50,106,446,0
511,pansage,6,105,63,grass,,50,53,48,53,48,64,316,0
512,simisage,11,305,174,grass,,75,98,63,98,63,101,498,0
513,pansear,6,110,63,fire,,50,53,48,53,48,64,316,0
514,simisear,10,280,174,fire,,75,98,63,98,63,101,498,0
515,panpour,6,135,63,water,,50,53,48,53,48,64,316,0
516,simipour,10,290,174,water,,75,98,63,98,63,101,498,0
517,munna,6,233,58,psychic,,76,25,45,67,55,24,292,0
518,musharna,11,605,170,psychic,,116,55,85,107,95,29,487,0
519,pidove,3,21,53,normal,flying,50,55,50,36,30,43,264,1
520,tranquill,6,150,125,normal,flying,62,77,62,50,42,65,358,1
521,unfezant,12,290,220,normal,flying,80,115,80,65,55,93,488,1
522,blitzle,8,298,59,electric,,45,60,32,50,32,76,295,0
523,zebstrika,16,795,174,electric,,75,100,63,80,63,116,497,0
524,roggenrola,4,180,56,rock,,55,75,85,25,25,15,280,0
525,boldore,9,1020,137,rock,,70,105,105,50,40,20,390,0
526,gigalith,17,2600,232,rock,,85,135,130,60,80,25,515,0
527,woobat,4,21,65,psychic,flying,65,45,43,55,43,72,323,1
528,swoobat,9,105,149,psychic,flying,67,57,55,77,55,114,425,1
529,drilbur,3,85,66,ground,,60,85,40,30,45,68,328,0
530,excadrill,7,404,178,ground,steel,110,135,60,50,65,88,508,1
531,audino,11,310,390,normal,,103,60,86,60,86,50,445,0
532,timburr,6,125,61,fighting,,75,80,55,25,35,35,305,0
533,gurdurr,12,400,142,fighting,,85,105,85,40,50,40,405,0
534,conkeldurr,14,870,227,fighting,,105,140,95,55,65,45,505,0
535,tympole,5,45,59,water,,50,50,40,50,40,64,294,0
536,palpitoad,8,170,134,water,ground,75,65,55,65,55,69,384,1
537,seismitoad,15,620,229,water,ground,105,95,75,85,75,74,509,1
538,throh,13,555,163,fighting,,120,100,85,30,85,45,465,0
539,sawk,14,510,163,fighting,,75,125,75,30,75,85,465,0
540,sewaddle,3,25,62,bug,grass,45,53,70,40,60,42,310,1
541,swadloon,5,73,133,bug,grass,55,63,90,50,80,42,380,1
542,leavanny,12,205,225,bug,grass,75,103,80,70,80,92,500,1
543,venipede,4,53,52,bug,poison,30,45,59,30,39,57,260,1
544,whirlipede,12,585,126,bug,poison,40,55,99,40,79,47,360,1
545,scolipede,25,2005,218,bug,poison,60,100,89,55,69,112,485,1
546,cottonee,3,6,56,grass,fairy,40,27,60,37,50,66,280,1
547,whimsicott,7,66,168,grass,fairy,60,67,85,77,75,116,480,1
548,petilil,5,66,56,grass,,45,35,50,70,50,30,280,0
549,lilligant,11,163,168,grass,,70,60,75,110,75,90,480,0
550,basculin-red-striped,10,180,161,water,,70,92,65,80,55,98,460,0
551,sandile,7,152,58,ground,dark,50,72,35,35,35,65,292,1
552,krokorok,10,334,123,ground,dark,60,82,45,45,45,74,351,1
553,krookodile,15,963,234,ground,dark,95,117,80,65,70,92,519,1
554,darumaka,6,375,63,fire,,70,90,45,15,45,50,315,0
555,darmanitan-standard,13,929,168,fire,,105,140,55,30,55,95,480,0
556,maractus,10,280,161,grass,,75,86,67,106,67,60,461,0
557,dwebble,3,145,65,bug,rock,50,65,85,35,35,55,325,1
558,crustle,14,2000,170,bug,rock,70,105,125,65,75,45,485,1
559,scraggy,6,118,70,dark,fighting,50,75,70,35,70,48,348,1
560,scrafty,11,300,171,dark,fighting,65,90,115,45,115,58,488,1
561,sigilyph,14,140,172,psychic,flying,72,58,80,103,80,97,490,1
562,yamask,5,15,61,ghost,,38,30,85,55,65,30,303,0
563,cofagrigus,17,765,169,ghost,,58,50,145,95,105,30,483,0
564,tirtouga,7,165,71,water,rock,54,78,103,53,45,22,355,1
565,carracosta,12,810,173,water,rock,74,108,133,83,65,32,495,1
566,archen,5,95,71,rock,flying,55,112,45,74,45,70,401,1
567,archeops,14,320,177,rock,flying,75,140,65,112,65,110,567,1
568,trubbish,6,310,66,poison,,50,50,62,40,62,65,329,0
569,garbodor,19,1073,166,poison,,80,95,82,60,82,75,474,0
570,zorua,7,125,66,dark,,40,65,40,80,40,65,330,0
571,zoroark,16,811,179,dark,,60,105,60,120,60,105,510,0
572,minccino,4,58,60,normal,,55,50,40,40,40,75,300,0
573,cinccino,5,75,165,normal,,75,95,60,65,60,115,470,0
574,gothita,4,58,58,psychic,,45,30,50,55,65,45,290,0
575,gothorita,7,180,137,psychic,,60,45,70,75,85,55,390,0
576,gothitelle,15,440,221,psychic,,70,55,95,95,110,65,490,0
577,solosis,3,10,58,psychic,,45,30,40,105,50,20,290,0
578,duosion,6,80,130,psychic,,65,40,50,125,60,30,370,0
579,reuniclus,10,201,221,psychic,,110,65,75,125,85,30,490,0
580,ducklett,5,55,61,water,flying,62,44,50,44,50,55,305,1
581,swanna,13,242,166,water,flying,75,87,63,87,63,98,473,1
582,vanillite,4,57,61,ice,,36,50,50,65,60,44,305,0
583,vanillish,11,410,138,ice,,51,65,65,80,75,59,395,0
584,vanilluxe,13,575,241,ice,,71,95,85,110,95,79,535,0
585,deerling,6,195,67,normal,grass,60,60,50,40,50,75,335,1
586,sawsbuck,19,925,166,normal,grass,80,100,70,60,70,95,475,1
587,emolga,4,50,150,electric,flying,55,75,60,75,60,103,428,1
588,karrablast,5,59,63,bug,,50,75,45,40,45,60,315,0
589,escavalier,10,330,173,bug,steel,70,135,105,60,105,20,495,1
590,foongus,2,10,59,grass,poison,69,55,45,55,55,15,294,1
591,amoonguss,6,105,162,grass,poison,114,85,70,85,80,30,464,1
592,frillish-male,12,330,67,water,ghost,55,40,50,65,85,40,335,1
593,jellicent-male,22,1350,168,water,ghost,100,60,70,85,105,60,480,1
594,alomomola,12,316,165,water,,165,75,80,40,45,65,470,0
595,joltik,1,6,64,bug,electric,50,47,50,57,50,65,319,1
596,galvantula,8,143,165,bug,electric,70,77,60,97,60,108,472,1
597,ferroseed,6,188,61,grass,steel,44,50,91,24,86,10,305,1
598,ferrothorn,10,1100,171,grass,steel,74,94,131,54,116,20,489,1
599,klink,3,210,60,steel,,40,55,70,45,60,30,300,0
600,klang,6,510,154,steel,,60,80,95,70,85,50,440,0
601,klinklang,6,810,234,steel,,60,100,115,70,85,90,520,0
602,tynamo,2,3,55,electric,,35,55,40,45,40,60,275,0
603,eelektrik,12,220,142,electric,,65,85,70,75,70,40,405,0
604,eelektross,21,805,232,electric,,85,115,80,105,80,50,515,0
605,elgyem,5,90,67,psychic,,55,55,55,85,55,30,335,0
606,beheeyem,10,345,170,psychic,,75,75,75,125,95,40,485,0
607,litwick,3,31,55,ghost,fire,50,30,55,65,55,20,275,1
608,lampent,6,130,130,ghost,fire,60,40,60,95,60,55,370,1
609,chandelure,10,343,234,ghost,fire,60,55,90,145,90,80,520,1
610,axew,6,180,64,dragon,,46,87,60,30,40,57,320,0
611,fraxure,10,360,144,dragon,,66,117,70,40,50,67,410,0
612,haxorus,18,1055,243,dragon,,76,147,90,60,70,97,540,0
613,cubchoo,5,85,61,ice,,55,70,40,60,40,40,305,0
614,beartic,26,2600,177,ice,,95,130,80,70,80,50,505,0
615,cryogonal,11,1480,180,ice,,80,50,50,95,135,105,515,0
616,shelmet,4,77,61,bug,,50,40,85,40,65,25,305,0
617,accelgor,8,253,173,bug,,80,70,40,100,60,145,495,0
618,stunfisk,7,110,165,ground,electric,109,66,84,81,99,32,471,1
619,mienfoo,9,200,70,fighting,,45,85,50,55,50,65,350,0
620,mienshao,14,355,179,fighting,,65,125,60,95,60,105,510,0
621,druddigon,16,1390,170,dragon,,77,120,90,60,90,48,485,0
622,golett,10,920,61,ground,ghost,59,74,50,35,50,35,303,1
623,golurk,28,3300,169,ground,ghost,89,124,80,55,80,55,483,1
624,pawniard,5,102,68,dark,steel,45,85,70,40,40,60,340,1
625,bisharp,16,700,172,dark,steel,65,125,100,60,70,70,490,1
626,bouffalant,16,946,172,normal,,95,110,95,40,95,55,490,0
627,rufflet,5,105,70,normal,flying,70,83,50,37,50,60,350,1
628,braviary,15,410,179,normal,flying,100,123,75,57,75,80,510,1
629,vullaby,5,90,74,dark,flying,70,55,75,45,65,60,370,1
630,mandibuzz,12,395,179,dark,flying,110,65,105,55,95,80,510,1
631,heatmor,14,580,169,fire,,85,97,66,105,66,65,484,0
632,durant,3,330,169,bug,steel,58,109,112,48,48,109,484,1
633,deino,8,173,60,dark,dragon,52,65,50,45,50,38,300,1
634,zweilous,14,500,147,dark,dragon,72,85,70,65,70,58,420,1
635,hydreigon,18,1600,270,dark,dragon,92,105,90,125,90,98,600,1
636,larvesta,11,288,72,bug,fire,55,85,55,50,55,60,360,1
637,volcarona,16,460,248,bug,fire,85,60,65,135,105,100,550,1
638,cobalion,21,2500,261,steel,fighting,91,90,129,90,72,108,580,1
639,terrakion,19,2600,261,rock,fighting,91,129,90,72,90,108,580,1
640,virizion,20,2000,261,grass,fighting,91,90,72,90,129,108,580,1
641,tornadus-incarnate,15,630,261,other,,79,115,70,125,80,111,580,0
642,thundurus-incarnate,15,610,261,electric,flying,79,115,70,125,80,111,580,1
643,reshiram,32,3300,306,dragon,fire,100,120,100,150,120,90,680,1
644,zekrom,29,3450,306,dragon,electric,100,150,120,120,100,90,680,1
645,landorus-incarnate,15,680,270,ground,flying,89,125,90,115,80,101,600,1
646,kyurem,30,3250,297,dragon,ice,125,130,90,130,90,95,660,1
647,keldeo-ordinary,14,485,261,water,fighting,91,72,90,129,90,108,580,1
648,meloetta-aria,6,65,270,normal,psychic,100,77,77,128,128,90,600,1
649,genesect,15,825,270,bug,steel,71,120,95,120,95,99,600,1
650,chespin,4,90,63,grass,,56,61,65,48,45,38,313,0
651,quilladin,7,290,142,grass,,61,78,95,56,58,57,405,0
652,chesnaught,16,900,239,grass,fighting,88,107,122,74,75,64,530,1
653,fennekin,4,94,61,fire,,40,45,40,62,60,60,307,0
654,braixen,10,145,143,fire,,59,59,58,90,70,73,409,0
655,delphox,15,390,240,fire,psychic,75,69,72,114,100,104,534,1
656,froakie,3,70,63,water,,41,56,40,62,44,71,314,0
657,frogadier,6,109,142,water,,54,63,52,83,56,97,405,0
658,greninja,15,400,239,water,dark,72,95,67,103,71,122,530,1
659,bunnelby,4,50,47,normal,,38,36,38,32,36,57,237,0
660,diggersby,10,424,148,normal,ground,85,56,77,50,77,78,423,1
661,fletchling,3,17,56,normal,flying,45,50,43,40,38,62,278,1
662,fletchinder,7,160,134,fire,flying,62,73,55,56,52,84,382,1
663,talonflame,12,245,175,fire,flying,78,81,71,74,69,126,499,1
664,scatterbug,3,25,40,bug,,38,35,40,27,25,35,200,0
665,spewpa,3,84,75,bug,,45,22,60,27,30,29,213,0
666,vivillon,12,170,185,bug,flying,80,52,50,90,50,89,411,1
667,litleo,6,135,74,fire,normal,62,50,58,73,54,72,369,1
668,pyroar-male,15,815,177,fire,normal,86,68,72,109,66,106,507,1
669,flabebe,1,1,61,fairy,,44,38,39,61,79,42,303,0
670,floette,2,9,130,fairy,,54,45,47,75,98,52,371,0
671,florges,11,100,248,fairy,,78,65,68,112,154,75,552,0
672,skiddo,9,310,70,grass,,66,65,48,62,57,52,350,0
673,gogoat,17,910,186,grass,,123,100,62,97,81,68,531,0
674,pancham,6,80,70,fighting,,67,82,62,46,48,43,348,0
675,pangoro,21,1360,173,fighting,dark,95,124,78,69,71,58,495,1
676,furfrou,12,280,165,normal,,75,80,60,65,90,102,472,0
677,espurr,3,35,71,psychic,,62,48,54,63,60,68,355,0
678,meowstic-male,6,85,163,psychic,,74,48,76,83,81,104,466,0
679,honedge,8,20,65,steel,ghost,45,80,100,35,37,28,325,1
680,doublade,8,45,157,steel,ghost,59,110,150,45,49,35,448,1
681,aegislash-shield,17,530,234,steel,ghost,60,50,140,50,140,60,500,1
682,spritzee,2,5,68,fairy,,78,52,60,63,65,23,341,0
683,aromatisse,8,155,162,fairy,,101,72,72,99,89,29,462,0
684,swirlix,4,35,68,fairy,,62,48,66,59,57,49,341,0
685,slurpuff,8,50,168,fairy,,82,80,86,85,75,72,480,0
686,inkay,4,35,58,dark,psychic,53,54,53,37,46,45,288,1
687,malamar,15,470,169,dark,psychic,86,92,88,68,75,73,482,1
688,binacle,5,310,61,rock,water,42,52,67,39,56,50,306,1
689,barbaracle,13,960,175,rock,water,72,105,115,54,86,68,500,1
690,skrelp,5,73,64,poison,water,50,60,60,60,60,30,320,1
691,dragalge,18,815,173,poison,dragon,65,75,90,97,123,44,494,1
692,clauncher,5,83,66,water,,50,53,62,58,63,44,330,0
693,clawitzer,13,353,100,water,,71,73,88,120,89,59,500,0
694,helioptile,5,60,58,electric,normal,44,38,33,61,43,70,289,1
695,heliolisk,10,210,168,electric,normal,62,55,52,109,94,109,481,1
696,tyrunt,8,260,72,rock,dragon,58,89,77,45,45,48,362,1
697,tyrantrum,25,2700,182,rock,dragon,82,121,119,69,59,71,521,1
698,amaura,13,252,72,rock,ice,77,59,50,67,63,46,362,1
699,aurorus,27,2250,104,rock,ice,123,77,72,99,92,58,521,1
700,sylveon,10,235,184,fairy,,95,65,65,110,130,60,525,0
701,hawlucha,8,215,175,fighting,flying,78,92,75,74,63,118,500,1
702,dedenne,2,22,151,electric,fairy,67,58,57,81,67,101,431,1
703,carbink,3,57,100,rock,fairy,50,50,150,50,150,50,500,1
704,goomy,3,28,60,dragon,,45,50,35,55,75,40,300,0
705,sliggoo,8,175,158,dragon,,68,75,53,83,113,60,452,0
706,goodra,20,1505,270,dragon,,90,100,70,110,150,80,600,0
707,klefki,2,30,165,steel,fairy,57,80,91,80,87,75,470,1
708,phantump,4,70,62,ghost,grass,43,70,48,50,60,38,309,1
709,trevenant,15,710,166,ghost,grass,85,110,76,65,82,56,474,1
710,pumpkaboo-average,4,50,67,ghost,grass,49,66,70,44,55,51,335,1
711,gourgeist-average,9,125,173,ghost,grass,65,90,122,58,75,84,494,1
712,bergmite,10,995,61,ice,,55,69,85,32,35,28,304,0
713,avalugg,20,5050,180,ice,,95,117,184,44,46,28,514,0
714,noibat,5,80,49,other,dragon,40,30,35,45,40,55,245,1
715,noivern,15,850,187,other,dragon,85,70,80,97,80,123,535,1
716,xerneas,30,2150,306,fairy,,126,131,95,131,98,99,680,0
717,yveltal,58,2030,306,dark,flying,126,131,95,131,98,99,680,1
718,zygarde-50,50,3050,270,dragon,ground,108,100,121,81,95,95,600,1
719,diancie,7,88,270,rock,fairy,50,100,150,100,150,50,600,1
720,hoopa,5,90,270,psychic,ghost,80,110,60,150,130,70,600,1
721,volcanion,17,1950,270,fire,water,80,110,120,130,90,70,600,1
722,rowlet,3,15,64,grass,flying,68,55,55,50,50,42,320,1
723,dartrix,7,160,147,grass,flying,78,75,75,70,70,52,420,1
724,decidueye,16,366,239,grass,ghost,78,107,75,100,100,70,530,1
725,litten,4,43,64,fire,,45,65,40,60,40,70,320,0
726,torracat,7,250,147,fire,,65,85,50,80,50,90,420,0
727,incineroar,18,830,239,fire,dark,95,115,90,80,90,60,530,1
728,popplio,4,75,64,water,,50,54,54,66,56,40,320,0
729,brionne,6,175,147,water,,60,69,69,91,81,50,420,0
730,primarina,18,440,239,water,fairy,80,74,74,126,116,60,530,1
731,pikipek,3,12,53,normal,flying,35,75,30,30,30,65,265,1
732,trumbeak,6,148,124,normal,flying,55,85,50,40,50,75,355,1
733,toucannon,11,260,218,normal,flying,80,120,75,75,75,60,485,1
734,yungoos,4,60,51,normal,,48,70,30,30,30,45,253,0
735,gumshoos,7,142,146,normal,,88,110,60,55,60,45,418,0
736,grubbin,4,44,60,bug,,47,62,45,55,45,46,300,0
737,charjabug,5,105,140,bug,electric,57,82,95,55,75,36,400,1
738,vikavolt,15,450,225,bug,electric,77,70,90,145,75,43,500,1
739,crabrawler,6,70,68,fighting,,47,82,57,42,47,63,338,0
740,crabominable,17,1800,167,fighting,ice,97,132,77,62,67,43,478,1
741,oricorio-baile,6,34,167,fire,flying,75,70,70,98,70,93,476,1
742,cutiefly,1,2,61,bug,fairy,40,45,40,55,40,84,304,1
743,ribombee,2,5,162,bug,fairy,60,55,60,95,70,124,464,1
744,rockruff,5,92,56,rock,,45,65,40,30,40,60,280,0
745,lycanroc-midday,8,250,170,rock,,75,115,65,55,65,112,487,0
746,wishiwashi-solo,2,3,61,water,,45,20,20,25,25,40,175,0
747,mareanie,4,80,61,poison,water,50,53,62,43,52,45,305,1
748,toxapex,7,145,173,poison,water,50,63,152,53,142,35,495,1
749,mudbray,10,1100,77,ground,,70,100,70,45,55,45,385,0
750,mudsdale,25,9200,175,ground,,100,125,100,55,85,35,500,0
751,dewpider,3,40,54,water,bug,38,40,52,40,72,27,269,1
752,araquanid,18,820,159,water,bug,68,70,92,50,132,42,454,1
753,fomantis,3,15,50,grass,,40,55,35,50,35,35,250,0
754,lurantis,9,185,168,grass,,70,105,90,80,90,45,480,0
755,morelull,2,15,57,grass,fairy,40,35,55,65,75,15,285,1
756,shiinotic,10,115,142,grass,fairy,60,45,80,90,100,30,405,1
757,salandit,6,48,64,poison,fire,48,44,40,71,40,77,320,1
758,salazzle,12,222,168,poison,fire,68,64,60,111,60,117,480,1
759,stufful,5,68,68,normal,fighting,70,75,50,45,50,50,340,1
760,bewear,21,1350,175,normal,fighting,120,125,80,55,60,60,500,1
761,bounsweet,3,32,42,grass,,42,30,38,30,38,32,210,0
762,steenee,7,82,102,grass,,52,40,48,40,48,62,290,0
763,tsareena,12,214,230,grass,,72,120,98,50,98,72,510,0
764,comfey,1,3,170,fairy,,51,52,90,82,110,100,485,0
765,oranguru,15,760,172,normal,psychic,90,60,80,90,110,60,490,1
766,passimian,20,828,172,fighting,,100,120,90,40,60,80,490,0
767,wimpod,5,120,46,bug,water,25,35,40,20,30,80,230,1
768,golisopod,20,1080,186,bug,water,75,125,140,60,90,40,530,1
769,sandygast,5,700,64,ghost,ground,55,55,80,70,45,15,320,1
770,palossand,13,2500,168,ghost,ground,85,75,110,100,75,35,480,1
771,pyukumuku,3,12,144,water,,55,60,130,30,130,5,410,0
772,type-null,19,1205,107,normal,,95,95,95,95,95,59,534,0
773,silvally,23,1005,257,normal,,95,95,95,95,95,95,570,0
774,minior-red-meteor,3,400,154,rock,flying,60,60,100,60,100,60,440,1
775,komala,4,199,168,normal,,65,115,65,75,95,65,480,0
776,turtonator,20,2120,170,fire,dragon,60,78,135,91,85,36,485,1
777,togedemaru,3,33,152,electric,steel,65,98,63,40,73,96,435,1
778,mimikyu-disguised,2,7,167,ghost,fairy,55,90,80,50,105,96,476,1
779,bruxish,9,190,166,water,psychic,68,105,70,70,70,92,475,1
780,drampa,30,1850,170,normal,dragon,78,60,85,135,91,36,485,1
781,dhelmise,39,2100,181,ghost,grass,70,131,100,86,90,40,517,1
782,jangmo-o,6,297,60,dragon,,45,55,65,45,45,45,300,0
783,hakamo-o,12,470,147,dragon,fighting,55,75,90,65,70,65,420,1
784,kommo-o,16,782,270,dragon,fighting,75,110,125,100,105,85,600,1
785,tapu-koko,18,205,257,electric,fairy,70,115,85,95,75,130,570,1
786,tapu-lele,12,186,257,psychic,fairy,70,85,75,130,115,95,570,1
787,tapu-bulu,19,455,257,grass,fairy,70,130,115,85,95,75,570,1
788,tapu-fini,13,212,257,water,fairy,70,75,115,95,130,85,570,1
789,cosmog,2,1,40,psychic,,43,29,31,29,31,37,200,0
790,cosmoem,1,9999,140,psychic,,43,29,131,29,131,37,400,0
791,solgaleo,34,2300,306,psychic,steel,137,137,107,113,89,97,680,1
792,lunala,40,1200,306,psychic,ghost,137,113,89,137,107,97,680,1
793,nihilego,12,555,257,rock,poison,109,53,47,127,131,103,570,1
794,buzzwole,24,3336,257,bug,fighting,107,139,139,53,53,79,570,1
795,pheromosa,18,250,257,bug,fighting,71,137,37,137,37,151,570,1
796,xurkitree,38,1000,257,electric,,83,89,71,173,71,83,570,0
797,celesteela,92,9999,257,steel,flying,97,101,103,107,101,61,570,1
798,kartana,3,1,257,grass,steel,59,181,131,59,31,109,570,1
799,guzzlord,55,8880,257,dark,dragon,223,101,53,97,53,43,570,1
800,necrozma,24,2300,270,psychic,,97,107,101,127,89,79,600,0
801,magearna,10,805,270,steel,fairy,80,95,115,130,115,65,600,1
802,marshadow,7,222,270,fighting,ghost,90,125,80,90,90,125,600,1
803,poipole,6,18,189,poison,,67,73,67,73,67,73,420,0
804,naganadel,36,1500,243,poison,dragon,73,73,73,127,73,121,540,1
805,stakataka,55,8200,257,rock,steel,61,131,211,53,101,13,570,1
806,blacephalon,18,130,257,fire,ghost,53,127,53,151,79,107,570,1
807,zeraora,15,445,270,electric,,88,112,75,102,80,143,600,0
808,meltan,2,80,135,steel,,46,65,65,55,35,34,300,0
809,melmetal,25,8000,270,steel,,135,143,143,80,65,34,600,0
810,grookey,3,50,62,grass,,50,65,50,40,40,65,310,0
811,thwackey,7,140,147,grass,,70,85,70,55,60,80,420,0
812,rillaboom,21,900,265,grass,,100,125,90,60,70,85,530,0
813,scorbunny,3,45,62,fire,,50,71,40,40,40,69,310,0
814,raboot,6,90,147,fire,,65,86,60,55,60,94,420,0
